level,word,quiz_sentence
4,accessible,Improving <blank> was the aim of the refurbishment.
4,accessible,The <blank> of the information had helped many.
4,accessible,She valued how <blank> the new system was.
4,accessible,The <blank> entrance was round the side.
4,accessible,Making the venue <blank> had been a priority.
4,accessible,The <blank> style of the guide was widely praised.
4,accessible,She kept the language <blank> to younger readers.
4,acquiescence,Her <blank> had been taken for agreement.
4,acquiescence,The <blank> of the committee had been reluctant.
4,acquiescence,His <blank> had surprised those who knew him.
4,acquiescence,She had given her <blank> under pressure.
4,acquiescence,The <blank> had been silent but clear.
4,acquiescence,His <blank> had been mistaken for enthusiasm.
4,acquiescence,The <blank> was noted in the minutes.
4,acquiescence,She had secured their <blank> at last.
4,acquiescence,His <blank> had come only after long debate.
4,acquiescence,The <blank> had been grudging.
4,acrimonious,The <blank> divorce had dragged on for years.
4,acrimonious,She had left after the <blank> exchange.
4,acrimonious,His <blank> tone had ended the meeting.
4,acrimonious,The <blank> dispute had split the family.
4,acrimonious,She had been shocked by the <blank> remarks.
4,acrimonious,The <blank> debate had left no one satisfied.
4,acrimonious,His <blank> letter had been widely quoted.
4,acrimonious,The <blank> parting had been painful.
4,acrimonious,She had tried to avoid a <blank> row.
4,acrimonious,The <blank> atmosphere had been hard to bear.
4,adulation,The <blank> of the crowd had embarrassed him.
4,adulation,She had grown weary of the <blank>.
4,adulation,His <blank> of the leader had known no bounds.
4,adulation,The <blank> had made her suspicious.
4,adulation,She had accepted the <blank> with good grace.
4,adulation,The <blank> had turned his head.
4,adulation,His <blank> had been fawning and excessive.
4,adulation,The <blank> had made her uncomfortable.
4,adulation,She had rejected the <blank> and asked for criticism.
4,adulation,The <blank> had been heaped upon the victor.
4,adventurous,She had always been an <blank> eater.
4,adventurous,The <blank> spirit had driven him to explore.
4,adventurous,His <blank> nature had led him into scrapes.
4,adventurous,The <blank> trip had been her idea.
4,adventurous,She had encouraged a more <blank> approach.
4,adventurous,The <blank> child had climbed the tree again.
4,adventurous,His <blank> streak had worried his parents.
4,adventurous,The <blank> menu had delighted the guests.
4,adventurous,She had been <blank> in her choice of career.
4,adventurous,The <blank> route had taken them over the pass.
4,affinity,She had always felt an <blank> with the sea.
4,affinity,The <blank> between them had been instant.
4,affinity,His <blank> for languages had been obvious from the start.
4,affinity,The <blank> had drawn them together.
4,affinity,She had a natural <blank> with animals.
4,affinity,The <blank> had made the collaboration easy.
4,affinity,His <blank> with the subject had shown in his work.
4,affinity,The <blank> had been remarked upon by many.
4,affinity,She had felt no <blank> with the place.
4,affinity,The <blank> had been spiritual as well as intellectual.
4,affirmation,She had nodded in <blank> when he finished.
4,affirmation,The <blank> of the result had been welcome.
4,affirmation,His <blank> had given her the confidence to continue.
4,affirmation,The <blank> had been written into the agreement.
4,affirmation,She had sought <blank> from her teacher.
4,affirmation,The <blank> had come from the highest level.
4,affirmation,His <blank> had silenced the doubters.
4,affirmation,The <blank> of her rights had been long overdue.
4,affirmation,She had needed that <blank> more than she knew.
4,affirmation,The <blank> had been public and clear.
4,affliction,The <blank> had left him bedridden for months.
4,affliction,She had borne her <blank> with patience.
4,affliction,His <blank> had been a trial to the whole family.
4,affliction,The <blank> had struck without warning.
4,affliction,She had prayed for relief from her <blank>.
4,affliction,The <blank> had been rare but severe.
4,affliction,His <blank> had drawn sympathy from many.
4,affliction,The <blank> had been documented in the records.
4,affliction,She had learned to live with her <blank>.
4,affliction,The <blank> had been the talk of the village.
4,alacrity,She had accepted the offer with <blank>.
4,alacrity,The <blank> of his response had been noted.
4,alacrity,His <blank> had surprised everyone.
4,alacrity,The <blank> with which they had acted had saved the day.
4,alacrity,She had set to work with <blank>.
4,alacrity,The <blank> had been refreshing.
4,alacrity,His <blank> had made him a favourite with the staff.
4,alacrity,The <blank> had been in sharp contrast to his usual slowness.
4,alacrity,She had risen with <blank> to open the door.
4,alacrity,The <blank> had been remarked upon in the report.
4,altercation,The <blank> had spilled out into the street.
4,altercation,She had tried to calm the <blank>.
4,altercation,His <blank> with the referee had cost him the match.
4,altercation,The <blank> had been overheard by several witnesses.
4,altercation,She had been drawn into the <blank> against her will.
4,altercation,The <blank> had started over a parking space.
4,altercation,His <blank> had been reported to the police.
4,altercation,The <blank> had left both parties shaken.
4,altercation,She had witnessed the <blank> from the window.
4,altercation,The <blank> had been brief but violent.
4,altruistic,Her <blank> motives had been questioned by some.
4,altruistic,The <blank> gesture had been widely praised.
4,altruistic,His <blank> work had earned him an award.
4,altruistic,The <blank> donation had been made anonymously.
4,altruistic,She had been driven by <blank> ideals.
4,altruistic,The <blank> spirit had inspired many to volunteer.
4,altruistic,His <blank> nature had been evident from youth.
4,altruistic,The <blank> aim had been to help the poorest.
4,altruistic,She had given <blank> reasons for her choice.
4,altruistic,The <blank> impulse had come from his upbringing.
4,ambivalence,She had felt <blank> about accepting the post.
4,ambivalence,His <blank> had been clear from the start.
4,ambivalence,The <blank> in her voice had been unmistakable.
4,ambivalence,She had written about her <blank> in the diary.
4,ambivalence,The <blank> had made the decision difficult.
4,ambivalence,His <blank> had frustrated those who wanted a clear answer.
4,ambivalence,The <blank> had been the theme of the novel.
4,ambivalence,She had confessed to <blank> about the move.
4,ambivalence,The <blank> had lasted until the deadline.
4,ambivalence,His <blank> had been typical of the group.
4,androgynous,The <blank> look had been fashionable that year.
4,androgynous,She had been drawn to his <blank> features.
4,androgynous,His <blank> style had confused the critics.
4,androgynous,The <blank> figure in the painting had been deliberate.
4,androgynous,She had adopted an <blank> appearance for the role.
4,androgynous,The <blank> character had been written with care.
4,androgynous,His <blank> beauty had been remarked upon.
4,androgynous,The <blank> design had appealed to both markets.
4,androgynous,She had chosen an <blank> name for the brand.
4,androgynous,The <blank> ideal had been central to the movement.
4,animosity,The <blank> between the two families had lasted generations.
4,animosity,She had felt no <blank> towards him.
4,animosity,His <blank> had been plain to see.
4,animosity,The <blank> had grown with each encounter.
4,animosity,She had tried to overcome the <blank>.
4,animosity,The <blank> had been mutual and deep.
4,animosity,His <blank> had been fuelled by the dispute.
4,animosity,The <blank> had made cooperation impossible.
4,animosity,She had been surprised by the <blank> in his voice.
4,animosity,The <blank> had erupted into violence.
4,antagonistic,She had found his <blank> manner hard to bear.
4,antagonistic,The <blank> relationship had been no secret.
4,antagonistic,His <blank> stance had been clear from the start.
4,antagonistic,The <blank> press had been unrelenting.
4,antagonistic,She had been put off by the <blank> tone.
4,antagonistic,The <blank> forces had been at work for years.
4,antagonistic,His <blank> attitude had lost him allies.
4,antagonistic,The <blank> crowd had booed the speaker.
4,antagonistic,She had responded to the <blank> question with calm.
4,antagonistic,The <blank> reaction had been expected.
4,antiquity,The <blank> of the site had been confirmed.
4,antiquity,She had studied the <blank> of the region.
4,antiquity,His interest in <blank> had begun at school.
4,antiquity,The <blank> had been preserved under the floor.
4,antiquity,She had been drawn to the <blank> of the building.
4,antiquity,The <blank> of the custom had been disputed.
4,antiquity,His collection of <blank> had been impressive.
4,antiquity,The <blank> had been dated to the fifth century.
4,antiquity,She had written a thesis on Roman <blank>.
4,antiquity,The <blank> had been returned to the museum.
4,apoplectic,She had been <blank> when she heard the news.
4,apoplectic,The <blank> manager had been sent from the room.
4,apoplectic,His <blank> reaction had shocked the committee.
4,apoplectic,The <blank> father had demanded an explanation.
4,apoplectic,She had grown <blank> at the delay.
4,apoplectic,The <blank> outburst had been recorded.
4,apoplectic,His <blank> rage had been directed at the referee.
4,apoplectic,The <blank> response had been disproportionate.
4,apoplectic,She had never seen him so <blank>.
4,apoplectic,The <blank> letter had been left unanswered.
4,apparition,The <blank> had appeared at the foot of the bed.
4,apparition,She had thought she had seen an <blank>.
4,apparition,His <blank> had been reported by several witnesses.
4,apparition,The <blank> had vanished as suddenly as it had come.
4,apparition,She had been frightened by the <blank> in the corridor.
4,apparition,The <blank> had been dressed in white.
4,apparition,His account of the <blank> had been dismissed.
4,apparition,The <blank> had appeared only to the child.
4,apparition,She had described the <blank> in detail.
4,apparition,The <blank> had been put down to tiredness.
4,appearance,His <blank> at the hearing had been unexpected.
4,appearance,She had made a brief <blank> at the reception.
4,appearance,The <blank> of the first buds had cheered her.
4,appearance,His <blank> had been neat but tired.
4,appearance,The <blank> of the document had caused a stir.
4,appearance,She had been concerned about the <blank> of the rash.
4,appearance,The <blank> of the stranger had been noted.
4,appearance,His <blank> in the film had been uncredited.
4,appearance,The <blank> of the castle had been imposing.
4,appearance,She had kept up <blank>s for the sake of the children.
4,apprehension,She had felt a growing <blank> as the day wore on.
4,apprehension,The <blank> had been shared by the whole team.
4,apprehension,His <blank> had proved to be justified.
4,apprehension,The <blank> had made it hard to sleep.
4,apprehension,She had tried to hide her <blank>.
4,apprehension,The <blank> of the suspect had been swift.
4,apprehension,His <blank> had been visible in his face.
4,apprehension,The <blank> had been palpable in the room.
4,apprehension,She had written of her <blank> in the letter.
4,apprehension,The <blank> had turned to relief when he arrived.
4,apprehensive,She had been <blank> about the interview.
4,apprehensive,The <blank> parents had waited by the gate.
4,apprehensive,His <blank> glance had said it all.
4,apprehensive,The <blank> mood had spread through the office.
4,apprehensive,She had felt <blank> but had gone anyway.
4,apprehensive,The <blank> expression had been hard to miss.
4,apprehensive,His <blank> nature had been well known.
4,apprehensive,The <blank> silence had been broken by a cough.
4,apprehensive,She had been <blank> that something would go wrong.
4,apprehensive,The <blank> crowd had watched the rescue.
4,aspiration,Her <blank> had been to become a doctor.
4,aspiration,The <blank> of the group had been clear.
4,aspiration,His <blank>s had been modest but sincere.
4,aspiration,The <blank> had been written in the manifesto.
4,aspiration,She had spoken of her <blank>s in the assembly.
4,aspiration,The <blank> had been to build a fairer society.
4,aspiration,His <blank> had been crushed by the rejection.
4,aspiration,The <blank> had drawn ridicule from some.
4,aspiration,She had encouraged the <blank>s of her pupils.
4,aspiration,The <blank> had been noble but vague.
4,assistance,She had offered her <blank> at once.
4,assistance,The <blank> had been gratefully received.
4,assistance,His <blank> had been invaluable.
4,assistance,The <blank> had come in the nick of time.
4,assistance,She had called for <blank> from the passers-by.
4,assistance,The <blank> had been financial as well as practical.
4,assistance,His <blank> had been offered without conditions.
4,assistance,The <blank> had been noted in the report.
4,assistance,She had given <blank> to the injured man.
4,assistance,The <blank> had been refused.
4,assumption,The <blank> had been wrong from the start.
4,assumption,She had questioned the <blank> behind the policy.
4,assumption,His <blank> of power had been swift.
4,assumption,The <blank> had been that everyone would agree.
4,assumption,She had made an <blank> that had cost her dear.
4,assumption,The <blank> had been challenged in court.
4,assumption,His <blank> of the role had been controversial.
4,assumption,The <blank> had been based on faulty data.
4,assumption,She had acted on the <blank> that he would help.
4,assumption,The <blank> had been proved correct.
4,auspicious,The <blank> start had raised everyone's hopes.
4,auspicious,She had chosen an <blank> date for the wedding.
4,auspicious,The <blank> signs had been there from the beginning.
4,auspicious,His <blank> debut had been long remembered.
4,auspicious,The <blank> occasion had been marked with a toast.
4,auspicious,She had not thought it an <blank> moment.
4,auspicious,The <blank> omen had been a rainbow.
4,auspicious,His <blank> words had been taken to heart.
4,auspicious,The <blank> beginning had not been sustained.
4,auspicious,She had hoped for an <blank> outcome.
4,austerity,The <blank> of the room had struck her at once.
4,austerity,She had lived through years of <blank>.
4,austerity,The <blank> measures had been deeply unpopular.
4,austerity,His <blank> had been a matter of principle.
4,austerity,The <blank> of the regime had been notorious.
4,austerity,She had admired the <blank> of the design.
4,austerity,The <blank> budget had left no room for luxuries.
4,austerity,His <blank> had been mistaken for coldness.
4,austerity,The <blank> of his prose had been praised.
4,austerity,She had embraced <blank> in her later years.
4,autonomous,The region had been <blank> for decades.
4,autonomous,She had valued her <blank> status at work.
4,autonomous,The <blank> vehicle had passed every test.
4,autonomous,His <blank> decision had angered the board.
4,autonomous,The <blank> unit had operated independently.
4,autonomous,She had fought for <blank> control of the project.
4,autonomous,The <blank> republic had declared itself.
4,autonomous,His <blank> nature had made him hard to manage.
4,autonomous,The <blank> robot had been designed for the factory.
4,autonomous,She had encouraged <blank> thinking in the class.
4,belligerent,The <blank> tone had ended the discussion.
4,belligerent,She had been shocked by his <blank> manner.
4,belligerent,The <blank> nation had refused to negotiate.
4,belligerent,His <blank> stance had worried his colleagues.
4,belligerent,The <blank> drunk had been removed from the pub.
4,belligerent,She had tried to calm the <blank> customer.
4,belligerent,The <blank> response had been unwarranted.
4,belligerent,His <blank> attitude had lost him the contract.
4,belligerent,The <blank> crowd had confronted the police.
4,belligerent,She had found his <blank> posturing tiresome.
4,benevolent,The <blank> ruler had been loved by his people.
4,benevolent,She had set up a <blank> fund for the poor.
4,benevolent,His <blank> smile had put her at ease.
4,benevolent,The <blank> society had been founded long ago.
4,benevolent,She had been the <blank> patron of the arts.
4,benevolent,The <blank> intention had been misunderstood.
4,benevolent,His <blank> nature had been evident from the start.
4,benevolent,The <blank> dictator had been a rare thing.
4,benevolent,She had accepted his <blank> offer of help.
4,benevolent,The <blank> gaze had followed her from the portrait.
4,boisterous,The <blank> children had been sent outside.
4,boisterous,She had found the <blank> party overwhelming.
4,boisterous,His <blank> humour had filled the room.
4,boisterous,The <blank> crowd had spilled onto the pitch.
4,boisterous,She had been <blank> in her youth.
4,boisterous,The <blank> celebration had gone on until dawn.
4,boisterous,His <blank> manner had been infectious.
4,boisterous,The <blank> sea had made the crossing rough.
4,boisterous,She had tried to quieten the <blank> group.
4,boisterous,The <blank> atmosphere had been good-natured.
4,calamity,The <blank> had struck without warning.
4,calamity,She had lived through one <blank> after another.
4,calamity,His <blank> had been the loss of the harvest.
4,calamity,The <blank> had been reported on every front page.
4,calamity,She had tried to avert the <blank>.
4,calamity,The <blank> had left the town in ruins.
4,calamity,His role in the <blank> had been investigated.
4,calamity,The <blank> had been the worst in living memory.
4,calamity,She had written a report on the <blank>.
4,calamity,The <blank> had brought out the best in people.
4,cantankerous,The <blank> old man had complained about everything.
4,cantankerous,She had grown more <blank> with age.
4,cantankerous,His <blank> mood had been legendary.
4,cantankerous,The <blank> patient had tried the nurses' patience.
4,cantankerous,She had found his <blank> manner trying.
4,cantankerous,The <blank> neighbour had reported them again.
4,cantankerous,His <blank> disposition had driven away his family.
4,cantankerous,The <blank> reply had been typical.
4,cantankerous,She had learned to humour the <blank> regular.
4,cantankerous,The <blank> critic had panned the show.
4,capricious,The <blank> weather had ruined the picnic.
4,capricious,She had been known for her <blank> decisions.
4,capricious,His <blank> nature had made him unreliable.
4,capricious,The <blank> ruler had changed the law on a whim.
4,capricious,She had tired of his <blank> behaviour.
4,capricious,The <blank> wind had made sailing dangerous.
4,capricious,His <blank> mood swings had been noted.
4,capricious,The <blank> market had baffled the experts.
4,capricious,She had been accused of being <blank>.
4,capricious,The <blank> fate had dealt them another blow.
4,caricature,The <blank> had been pinned to the board.
4,caricature,She had drawn a <blank> of the headmaster.
4,caricature,His <blank> of the politician had gone viral.
4,caricature,The <blank> had been cruel but accurate.
4,caricature,She had been offended by the <blank>.
4,caricature,The <blank> had exaggerated his nose.
4,caricature,His performance had been a <blank> of the original.
4,caricature,The <blank> had been meant in fun.
4,caricature,She had recognised herself in the <blank>.
4,caricature,The <blank> had been the work of a master.
4,charismatic,The <blank> leader had drawn huge crowds.
4,charismatic,She had been a <blank> presence on stage.
4,charismatic,His <blank> personality had won him many friends.
4,charismatic,The <blank> preacher had filled the hall.
4,charismatic,She had fallen under his <blank> spell.
4,charismatic,The <blank> candidate had been the favourite.
4,charismatic,His <blank> charm had been undeniable.
4,charismatic,The <blank> teacher had inspired a generation.
4,charismatic,She had lacked the <blank> quality he had.
4,charismatic,The <blank> appeal had been hard to resist.
4,chivalrous,His <blank> gesture had been appreciated.
4,chivalrous,She had been touched by his <blank> behaviour.
4,chivalrous,The <blank> knight had defended the weak.
4,chivalrous,His <blank> offer had been declined.
4,chivalrous,She had found his <blank> manners old-fashioned.
4,chivalrous,The <blank> code had guided his actions.
4,chivalrous,His <blank> conduct had been noted.
4,chivalrous,The <blank> ideal had been passed down.
4,chivalrous,She had been surprised by his <blank> attention.
4,chivalrous,The <blank> act had been a small one.
4,chronology,The <blank> of events had been disputed.
4,chronology,She had studied the <blank> of the dynasty.
4,chronology,His <blank> had been full of gaps.
4,chronology,The <blank> had been set out in the report.
4,chronology,She had tried to establish a clear <blank>.
4,chronology,The <blank> of the manuscript had been debated.
4,chronology,His <blank> had been confused by the editor.
4,chronology,The <blank> had been crucial to the case.
4,chronology,She had written a <blank> of the war.
4,chronology,The <blank> had been verified by experts.
4,coincidence,It had been pure <blank> that they had met.
4,coincidence,She had dismissed the <blank> as meaningless.
4,coincidence,His <blank> had been too neat to be accidental.
4,coincidence,The <blank> had struck her as odd.
4,coincidence,She had wondered if it was more than <blank>.
4,coincidence,The <blank> had been remarked upon by many.
4,coincidence,His <blank> had been fortunate.
4,coincidence,The <blank> had led to their reunion.
4,coincidence,She had put it down to <blank>.
4,coincidence,The <blank> had been uncanny.
4,colloquial,The <blank> expression had puzzled the visitor.
4,colloquial,She had used <blank> language in the essay.
4,colloquial,His <blank> style had been refreshing.
4,colloquial,The <blank> term had been in common use.
4,colloquial,She had preferred a <blank> tone.
4,colloquial,The <blank> phrase had been underlined.
4,colloquial,His <blank> speech had been natural.
4,colloquial,The <blank> usage had been noted.
4,colloquial,She had avoided <blank> expressions in the report.
4,colloquial,The <blank> form had been acceptable in context.
4,competition,The <blank> had been fierce.
4,competition,She had entered the <blank> on a whim.
4,competition,His <blank> had been the favourite.
4,competition,The <blank> had been open to all.
4,competition,She had withdrawn from the <blank>.
4,competition,The <blank> had been held every year.
4,competition,His <blank> had been disqualified.
4,competition,The <blank> had attracted hundreds of entries.
4,competition,She had won the <blank> hands down.
4,competition,The <blank> had been cancelled at the last minute.
4,complacent,She had warned against <blank> attitudes.
4,complacent,The <blank> team had been beaten easily.
4,complacent,His <blank> smile had irritated her.
4,complacent,The <blank> assumption had been wrong.
4,complacent,She had grown <blank> after the first success.
4,complacent,The <blank> response had been criticised.
4,complacent,His <blank> manner had cost him the deal.
4,complacent,The <blank> crowd had been taken by surprise.
4,complacent,She had shaken him out of his <blank> state.
4,complacent,The <blank> belief had been shattered.
4,complaisant,She had been too <blank> for her own good.
4,complaisant,The <blank> servant had agreed to everything.
4,complaisant,His <blank> nature had been exploited.
4,complaisant,The <blank> response had been what they had wanted.
4,complaisant,She had found his <blank> manner suspicious.
4,complaisant,The <blank> attitude had masked resentment.
4,complaisant,His <blank> acceptance had been immediate.
4,complaisant,The <blank> nod had been misleading.
4,complaisant,She had refused to be <blank>.
4,complaisant,The <blank> silence had been taken as consent.
4,compliance,The <blank> with the order had been immediate.
4,compliance,She had ensured <blank> with the new rules.
4,compliance,His <blank> had been grudging.
4,compliance,The <blank> had been checked by the inspector.
4,compliance,She had signed the <blank> certificate.
4,compliance,The <blank> had been voluntary.
4,compliance,His <blank> had been noted in the file.
4,compliance,The <blank> deadline had been missed.
4,compliance,She had demanded full <blank>.
4,compliance,The <blank> had been enforced with fines.
4,complicity,She had been accused of <blank> in the fraud.
4,complicity,The <blank> had been denied from the start.
4,complicity,His <blank> had been proved in court.
4,complicity,The <blank> had been tacit but real.
4,complicity,She had denied any <blank> in the affair.
4,complicity,The <blank> of the guard had been suspected.
4,complicity,His <blank> had been the subject of the inquiry.
4,complicity,The <blank> had been hard to prove.
4,complicity,She had been shocked by the <blank>.
4,complicity,The <blank> had been revealed in the documents.
4,compliment,She had taken the <blank> with a smile.
4,compliment,The <blank> had been sincere.
4,compliment,His <blank> had embarrassed her.
4,compliment,The <blank> had been passed on to the chef.
4,compliment,She had paid him a <blank> on his work.
4,compliment,The <blank> had been backhanded.
4,compliment,His <blank> had been the highlight of her day.
4,compliment,The <blank> had been returned in kind.
4,compliment,She had accepted the <blank> graciously.
4,compliment,The <blank> had been unexpected.
4,composition,The <blank> of the committee had been criticised.
4,composition,She had studied the <blank> of the soil.
4,composition,His <blank> had won a prize.
4,composition,The <blank> had been for piano and violin.
4,composition,She had written a <blank> on the topic.
4,composition,The <blank> of the board had changed.
4,composition,His <blank> had been performed at the festival.
4,composition,The <blank> had been analysed in the lab.
4,composition,She had admired the <blank> of the painting.
4,composition,The <blank> had been his first and last.
4,conceivable,It was <blank> that he had made a mistake.
4,conceivable,She had considered every <blank> outcome.
4,conceivable,The <blank> delay had been explained.
4,conceivable,His <blank> excuse had been rejected.
4,conceivable,She had thought it <blank> that they would agree.
4,conceivable,The <blank> alternative had been overlooked.
4,conceivable,His <blank> motive had been profit.
4,conceivable,The <blank> scenario had been planned for.
4,conceivable,She had found it barely <blank>.
4,conceivable,The <blank> result had been the best of all.
4,conclusion,She had come to the <blank> that he was lying.
4,conclusion,The <blank> of the meeting had been inconclusive.
4,conclusion,His <blank> had been hasty.
4,conclusion,The <blank> had been written on the board.
4,conclusion,She had drawn her own <blank>.
4,conclusion,The <blank> of the story had surprised everyone.
4,conclusion,His <blank> had been based on flimsy evidence.
4,conclusion,The <blank> had been foregone.
4,conclusion,She had reached the <blank> at last.
4,conclusion,The <blank> had been inescapable.
4,conclusive,The <blank> evidence had been presented.
4,conclusive,She had demanded <blank> proof.
4,conclusive,His <blank> victory had been celebrated.
4,conclusive,The <blank> test had yet to be done.
4,conclusive,She had found the argument <blank>.
4,conclusive,The <blank> result had settled the matter.
4,conclusive,His <blank> defeat had ended his career.
4,conclusive,The <blank> nature of the finding had been disputed.
4,conclusive,She had waited for <blank> news.
4,conclusive,The <blank> answer had been no.
4,condescension,She had detected <blank> in his tone.
4,condescension,The <blank> had been hard to miss.
4,condescension,His <blank> had offended many.
4,condescension,The <blank> had been unintended
4,condescension,She had bristled at the <blank>.
4,condescension,The <blank> in his smile had been obvious.
4,condescension,His <blank> had been a defence mechanism.
4,condescension,The <blank> had been noted in the review.
4,condescension,She had refused to tolerate his <blank>.
4,condescension,The <blank> had spoiled the occasion.
4,conscience,Her <blank> had kept her awake.
4,conscience,The <blank> of the nation had been stirred.
4,conscience,His <blank> had been clear.
4,conscience,The <blank> had pricked him at last.
4,conscience,She had acted according to her <blank>.
4,conscience,The <blank> vote had been close.
4,conscience,His <blank> had been troubled.
4,conscience,The <blank> had been salved by the apology.
4,conscience,She had been a prisoner of <blank>.
4,conscience,The <blank> had been his guide.
4,conscientious,She had been a <blank> pupil.
4,conscientious,The <blank> worker had been promoted.
4,conscientious,His <blank> approach had been noted.
4,conscientious,The <blank> objection had been respected.
4,conscientious,She had made a <blank> effort to finish.
4,conscientious,The <blank> gardener had tended every bed.
4,conscientious,His <blank> nature had made him reliable.
4,conscientious,The <blank> report had been thorough.
4,conscientious,She had been <blank> in her duties.
4,conscientious,The <blank> execution had been praised.
4,consideration,She had given the matter careful <blank>.
4,consideration,The <blank> had been taken into account.
4,consideration,His <blank> for others had been evident.
4,consideration,The <blank> had been rejected.
4,consideration,She had shown <blank> for his feelings.
4,consideration,The <blank> had been under review.
4,consideration,His <blank> had been generous.
4,consideration,The <blank> had been paid in full.
4,consideration,She had accepted the offer after due <blank>.
4,consideration,The <blank> had been a small one.
4,conspicuous,She had tried to avoid being <blank>.
4,conspicuous,The <blank> absence had been noted.
4,conspicuous,His <blank> consumption had shocked the guests.
4,conspicuous,The <blank> by his absence had been the chairman.
4,conspicuous,She had made a <blank> effort to help.
4,conspicuous,The <blank> wealth had attracted attention.
4,conspicuous,His <blank> bravery had been rewarded.
4,conspicuous,The <blank> display had been criticised.
4,conspicuous,She had been <blank> in her silence.
4,conspicuous,The <blank> position had made him a target.
4,contagious,The <blank> disease had spread quickly.
4,contagious,She had found his enthusiasm <blank>.
4,contagious,The <blank> laughter had filled the room.
4,contagious,His <blank> smile had cheered her up.
4,contagious,The <blank> outbreak had been contained.
4,contagious,She had been kept in isolation as <blank>.
4,contagious,The <blank> yawn had passed round the table.
4,contagious,His <blank> good humour had been noted.
4,contagious,The <blank> patient had been quarantined.
4,contagious,She had warned that the virus was highly <blank>.
4,contemporary,The <blank> account had been the most reliable.
4,contemporary,She had studied <blank> history at university.
4,contemporary,His <blank> had been the poet himself.
4,contemporary,The <blank> art had divided opinion.
4,contemporary,She had been a <blank> of the composer.
4,contemporary,The <blank> witness had left a diary.
4,contemporary,His <blank> style had been influential.
4,contemporary,The <blank> scene had been vibrant.
4,contemporary,She had written on <blank> literature.
4,contemporary,The <blank> building had won an award.
4,contemptible,She had found his behaviour <blank>.
4,contemptible,The <blank> lie had been exposed.
4,contemptible,His <blank> cowardice had been noted.
4,contemptible,The <blank> trick had fooled no one.
4,contemptible,She had dismissed the offer as <blank>.
4,contemptible,The <blank> treatment had been reported.
4,contemptible,His <blank> betrayal had cost them dear.
4,contemptible,The <blank> excuse had been rejected.
4,contemptible,She had thought the man <blank>.
4,contemptible,The <blank> act had been condemned.
4,contemptuous,She had given him a <blank> look.
4,contemptuous,The <blank> tone had been unmistakable.
4,contemptuous,His <blank> dismissal had hurt.
4,contemptuous,The <blank> remark had been overheard.
4,contemptuous,She had been <blank> of the suggestion.
4,contemptuous,The <blank> laugh had said it all.
4,contemptuous,His <blank> attitude had lost him friends.
4,contemptuous,The <blank> gesture had been a wave of the hand.
4,contemptuous,She had spoken with <blank> clarity.
4,contemptuous,The <blank> silence had been worse than words.
4,contentious,The <blank> issue had divided the party.
4,contentious,She had avoided the <blank> topic.
4,contentious,His <blank> proposal had been voted down.
4,contentious,The <blank> debate had lasted for hours.
4,contentious,She had been a <blank> figure in the dispute.
4,contentious,The <blank> clause had been removed.
4,contentious,His <blank> nature had been well known.
4,contentious,The <blank> meeting had ended in uproar.
4,contentious,She had found the subject <blank>.
4,contentious,The <blank> decision had been appealed.
4,continuous,The <blank> noise had given her a headache.
4,continuous,She had demanded <blank> improvement.
4,continuous,His <blank> chatter had worn her down.
4,continuous,The <blank> line had stretched for miles.
4,continuous,She had worked for <blank> hours.
4,continuous,The <blank> flow had been interrupted.
